mes_ref,usd,ipca_acumu,ipca_mensal,selic_acumu,selic_mensal,valor_fed
11/01/22,5.2941,5.19,0.43,13.75,1.1458,4
12/01/22,4.3,5.03,0.57,13.75,1.1458,4.25
01/01/23,4.29166666666667,4.99,0.5,13.75,1.1458,4.25
02/01/23,4.28333333333333,4.5,0.52,13.25,1.1041,4.25
03/01/23,4.2750,3.3,0.42,12.75,1.0625,4
04/01/23,4.26666666666667,2.56,0.32,12.75,1.0625,4
05/01/23,4.25833333333333,2.38,0.29,12.25,1.0208,4
06/01/23,4.25,1.87,0.16,11.75,0.9791,4
07/01/23,4.24166666666667,2.85,0.3,11.75,0.9791,4
08/01/23,4.23333333333334,3.42,0.21,10.25,0.8541,4
09/01/23,4.2250,3.97,0.26,9.75,0.8125,3.75
10/01/23,4.21666666666667,4.56,0.27,9.75,0.8125,3.75
