mes_ref,usd,ipca_acumu,ipca_mensal,selic_acumu,selic_mes,valor_fed,quant_imp,quant_exp
01/01/14,2.4263,5.5853,0.55,8.48227605546468,0.85,0.25,21392,11147
02/01/14,2.3334,5.6798,0.69,8.8061359700496,0.79,0.25,20933,8144
03/01/14,2.2630,6.1531,0.92,9.04420011637892,0.77,0.25,20107,8348
04/01/14,2.2360,6.2798,0.67,9.27180454958076,0.82,0.25,21972,9275
05/01/14,2.2408,6.3751,0.46,9.56507877650312,0.87,0.25,21616,9766
06/01/14,2.2025,6.5236,0.4,9.79377042289082,0.82,0.25,20501,8946
07/01/14,2.2674,6.5023,0.01,10.0444909073752,0.95,0.25,22202,10456
08/01/14,2.2396,6.5129,0.25,10.2193208005852,0.87,0.25,20977,9259
09/01/14,2.4510,6.7465,0.57,10.4382053618016,0.91,0.25,20462,10933
10/01/14,2.4442,6.5872,0.42,10.5915765427426,0.95,0.25,21475,10937
11/01/14,2.5601,6.5554,0.51,10.7233377538737,0.84,0.25,18373,9102
12/01/14,2.6562,6.4076,0.78,10.9100920689661,0.96,0.25,18289,9829
01/01/15,2.6623,7.1378,1.24,11.0090698407679,0.94,0.25,18896,7889
02/01/15,2.8782,7.7018,1.22,11.0421115323565,0.82,0.25,12960,7987
03/01/15,3.2080,8.1286,1.32,11.3396343081205,1.04,0.25,14403,9389
04/01/15,2.9936,8.1716,0.71,11.4831986054827,0.95,0.25,14449,8070
05/01/15,3.1788,8.4731,0.74,11.6158245976772,0.99,0.25,12642,9190
06/01/15,3.1026,8.8944,0.79,11.8925946447851,1.07,0.25,14715,8965
07/01/15,3.3940,9.5586,0.62,12.1475257668089,1.18,0.25,12777,10358
08/01/15,3.6460,9.5259,0.22,12.4143583848721,1.11,0.25,12173,8905
09/01/15,3.9729,9.4932,0.54,12.6371596104887,1.11,0.25,12121,9280
10/01/15,3.8589,9.9293,0.82,12.8156830927837,1.11,0.25,12591,8755
11/01/15,3.8506,10.4762,1.01,13.0571988454415,1.05587821684314,0.25,11799,9008
12/01/15,3.9048,10.6735,0.96,13.2811631854681,1.16,0.5,11861,10083
01/01/16,4.0428,10.7063,1.27,13.4158346693422,1.06,0.5,10987,8176
02/01/16,3.9796,10.3563,0.9,13.6183227693272,1,0.5,10120,7565
03/01/16,3.5589,9.3869,0.43,13.753261394944,1.16,0.5,12498,8520
04/01/16,3.4508,9.2783,0.61,13.8772124474793,1.06,0.5,9135,8444
05/01/16,3.5951,9.3217,0.78,14.012525503165,1.11,0.5,9924,9832
06/01/16,3.2098,8.8445,0.35,14.1140504590895,1.16,0.5,11024,8325
07/01/16,3.2390,8.7363,0.52,14.0351022130712,1.11,0.5,9410,8545
08/01/16,3.2403,8.9750,0.44,14.1591637425285,1.22,0.5,9352,9573
09/01/16,3.2462,8.4764,0.08,14.1591637425286,1.11,0.5,9094,8422
10/01/16,3.1811,7.8739,0.26,14.0914201976314,1.05,0.5,9001,7776
11/01/16,3.3967,6.9875,0.18,14.0734937955081,1.04,0.5,8521,8945
12/01/16,3.2591,6.2881,0.3,14.0283876295154,1.12,0.75,9548,7875
01/01/17,3.1270,5.4454,0.38,14.0622373388849,1.09,0.75,8455,6766
02/01/17,3.0993,4.7588,0.33,13.9154245581517,0.87,0.75,7430,6232
03/01/17,3.1684,4.5710,0.25,13.7915544839979,1.05,1,9308,8859
04/01/17,3.1984,4.0825,0.14,13.4875398420953,0.79,1,7608,7341
05/01/17,3.2437,3.5971,0.31,13.2855048586952,0.93,1,9421,8762
06/01/17,3.3082,2.9984,-0.23,12.893552242043,0.81,1.25,8663,8122
07/01/17,3.1307,2.7115,0.24,12.5474242507955,0.8,1.25,9496,6807
08/01/17,3.1471,2.4558,0.19,12.0804224904187,0.8,1.25,10036,8082
09/01/17,3.1680,2.5377,0.16,11.5594275485683,0.64,1.25,8575,7598
10/01/17,3.2769,2.7013,0.42,11.1067866253133,0.64,1.25,8703,8655
11/01/17,3.2616,2.8039,0.28,10.5899597279074,0.57,1.25,9414,8030
12/01/17,3.3080,2.9473,0.44,9.95564231649335,0.54,1.5,8686,8252
01/01/18,3.1624,2.8550,0.29,9.40091506769121,0.58,1.5,10224,6426
02/01/18,3.2449,2.8448,0.32,8.96708572272165,0.47,1.5,7579,6697
03/01/18,3.3238,2.6807,0.09,8.40634465814158,0.53,1.75,9506,8366
04/01/18,3.4811,2.7627,0.22,8.11594171084822,0.52,1.75,9376,8404
05/01/18,3.7370,2.8549,0.4,7.67675082507153,0.52,1.75,9844,7948
06/01/18,3.8558,4.3910,1.26,7.36699725162375,0.52,2,10115,7410
07/01/18,3.7549,4.4847,0.33,7.09005856823661,0.54,2,11500,6884
08/01/18,4.1353,4.1927,-0.09,6.84570625205909,0.57,2,10369,8904
09/01/18,4.0039,4.5256,0.48,6.66522364014681,0.47,2.25,9960,6825
10/01/18,3.7177,4.5568,0.45,6.55923673271424,0.54,2.25,11989,8312
11/01/18,3.8633,4.0459,-0.21,6.47447249945761,0.49,2.25,10424,7614
12/01/18,3.8748,3.7455,0.15,6.42152120022377,0.49,2.5,9503,7388
01/01/19,3.6519,3.7765,0.32,6.37919806592258,0.54,2.5,12051,6491
02/01/19,3.7385,3.8903,0.43,6.40037437687429,0.49,2.5,9619,6553
03/01/19,3.8967,4.5754,0.75,6.33687072162104,0.47,2.5,9646,7885
04/01/19,3.9453,4.9406,0.57,6.33687072162104,0.52,2.5,11299,7086
05/01/19,3.9407,4.6584,0.13,6.35802807751471,0.54,2.5,11854,7775
06/01/19,3.8322,3.3664,0.01,6.30512416382709,0.47,2.5,10903,5936
07/01/19,3.7649,3.2222,0.19,6.33684441173754,0.57,2.25,12285,6922
08/01/19,4.1385,3.4288,0.11,6.26283049994647,0.5,2.25,10657,9270
09/01/19,4.1644,2.8935,-0.04,6.25225392679032,0.46,2,11910,7194
10/01/19,4.0041,2.5350,0.1,6.1888449827322,0.48,1.75,13049,7383
11/01/19,4.2240,3.2748,0.51,6.07260682024737,0.38,1.75,10333,8140
12/01/19,4.0307,4.3060,1.15,5.94594035772944,0.37,1.75,12318,6141
01/01/20,4.2695,4.1917,0.21,5.77733730961683,0.38,1.75,9767,7243
02/01/20,4.4987,4.0049,0.25,5.56681419824332,0.29,1.75,8465,6660
03/01/20,5.1987,3.3030,0.07,5.4302193356399,0.34,0.25,8544,7889
04/01/20,5.4270,2.3990,-0.31,5.17849577176643,0.28,0.25,7600,5774
05/01/20,5.4263,1.8775,-0.38,4.86465502448641,0.24,0.25,9241,5964
06/01/20,5.4760,2.1322,0.26,4.5932823728853,0.21,0.25,9631,6989
07/01/20,5.2033,2.3055,0.36,4.19808055025734,0.19,0.25,11968,6741
08/01/20,5.4713,2.4383,0.24,3.84556963098284,0.16,0.25,10161,7925
09/01/20,5.6407,3.1352,0.64,3.53545942901896,0.16,0.25,12109,7583
10/01/20,5.7718,3.9182,0.86,3.20572866650617,0.16,0.25,12780,7953
11/01/20,5.3317,4.3111,0.89,2.96925409394897,0.15,0.25,15469,6677
12/01/20,5.1967,4.5173,1.35,2.75381578210547,0.16,0.25,14609,7889
01/01/21,5.4759,4.5591,0.25,2.51837667441581,0.15,0.25,11764,7635
02/01/21,5.5302,5.1953,0.86,2.35482158150622,0.13,0.25,11459,7291
03/01/21,5.6973,6.0993,0.93,2.21201038934546,0.2,0.25,15031,9793
04/01/21,5.4036,6.7592,0.31,2.14066175824004,0.21,0.25,14363,7440
05/01/21,5.2322,8.0559,0.83,2.17123059156747,0.27,0.25,14882,8152
06/01/21,5.0022,8.3469,0.53,2.27318771220575,0.31,0.25,16396,8914
07/01/21,5.1216,8.9945,0.96,2.44672241538044,0.36,0.25,14660,9478
08/01/21,5.1433,9.6797,0.87,2.72288670304168,0.43,0.25,15129,9004
09/01/21,5.4394,10.2464,1.16,3.01005132241925,0.44,0.25,14410,9938
10/01/21,5.6430,10.6727,1.25,3.34944146755098,0.49,0.25,13374,9706
11/01/21,5.6118,10.7385,0.95,3.80349792532157,0.59,0.25,14786,8761
12/01/21,5.5805,10.0611,0.73,4.43568775893222,0.77,0.25,14413,9934
01/01/22,5.3954,10.3794,0.54,5.04050751829497,0.73,0.25,13564,6949
02/01/22,5.1394,10.5436,1.01,5.70140355081796,0.76,0.25,13151,7188
03/01/22,4.7497,11.2993,1.62,6.47148363656747,0.93,0.5,15680,9130
04/01/22,4.9191,12.1315,1.06,7.13022348143992,0.83,0.5,13994,9012
