mes_ref,usd,ipca_acumu,ipca_mensal,selic_acumu,selic_mensal,valor_fed
11/01/22,5.2941,6.21,0.54,11.9922615588263,1.02,4
12/01/22,5.2,5.59,0.72,12.3849240937529,1.12331551567757,4.5
01/01/23,5.21,5.52,0.53,12.8237480228139,1.12331551567757,4.5
02/01/23,5.22,5.46,0.72,13.0008238674538,0.918141902024927,4.75
03/01/23,5.23,5.12,0.49,13.2747599685882,1.17467406290717,5
04/01/23,5.24,3.99,0.38,13.3737806250898,0.918141902024905,5
05/01/23,5.25,3.33,0.37,13.478497370644,1.12331551567759,5
06/01/23,5.24,3.24,0.22,13.5368913240966,1.0719830392053,5
07/01/23,5.23,2.7,0.27,13.5840716048024,1.0719830392053,5
08/01/23,5.22,3.68,0.3,13.5475905695767,1.13750612756136,5
09/01/23,5.21,4.30,0.33,13.4385140450159,0.972909746635242,5
10/01/23,5.2,5.18,0.31,13.4125692183837,0.99757191050891,5
